fold,model,train_end,validation_start,validation_end,test_start,test_end,n,epochs,validation_loss,RMSE,MAE,R2,MASE,CRPS,NLL,PI90_coverage,PI90_hits,PI90_n,PI90_width,Winkler90,neg_mass
fold_1,PG-SSM,2024-03-28,2024-03-29,2024-05-17,2024-05-18,2024-07-06,50,52,0.6264821887016296,0.44876425598260855,0.3744633197784424,-1.3046481609344482,0.9951619918694465,0.2707527122230395,0.9761241674423218,0.76,38,50,0.8923671841621399,2.3805716037750244,0.0
fold_1,persistence,2024-03-28,2024-03-29,2024-05-17,2024-05-18,2024-07-06,50,0,,0.4410623587724013,0.3632000022888184,-1.2262200454665715,0.9652289520334912,0.38631182175863854,1.320301032493864,1.0,50,50,4.68457064129059,4.68457064129059,0.04790128197008941
fold_2,PG-SSM,2024-05-17,2024-05-18,2024-07-06,2024-07-07,2024-08-25,50,55,0.14704278111457825,0.609678217447183,0.560086190700531,-4.532797813415527,1.6661492733417909,0.4207328989634634,2.0611917972564697,0.36,18,50,0.907487154006958,4.117917537689209,0.0
fold_2,persistence,2024-05-17,2024-05-18,2024-07-06,2024-07-07,2024-08-25,50,0,,0.20771128885763226,0.1711999742507934,0.3578098412684222,0.5092871729926447,0.3235215888856159,1.2157783603251453,1.0,50,50,4.3733044227016045,4.3733044227016045,0.01908749298123012
fold_3,PG-SSM,2024-07-06,2024-07-07,2024-08-25,2024-08-26,2024-10-13,47,58,0.25562891364097595,0.2548015801197729,0.2223423272371292,0.023646116256713867,0.7359990101638648,0.14929814179160214,0.11819078773260117,1.0,47,47,1.1014434099197388,1.1014434099197388,0.0
fold_3,persistence,2024-07-06,2024-07-07,2024-08-25,2024-08-26,2024-10-13,47,0,,0.2892322319397679,0.20936167716979984,-0.25804560411319266,0.6930303783268471,0.31883446260195897,1.1697424014282096,1.0,47,47,4.116371506461842,4.116371506461842,0.0067108268136465985
