model,seed,epochs,val_loss,parameters,RMSE,MAE,R2,MASE,CRPS,NLL,PI90_coverage,PI90_hits,PI90_n,PI90_width,Winkler90,neg_mass,selected_alpha
gaussian_gru,11,16,0.25180092453956604,7266,0.5044361551545958,0.4622381031513214,-3.4156532287597656,1.3750699311353898,0.3091251845443829,0.8310577869415283,0.5753424657534246,42,73,1.2911659479141235,1.7220734357833862,2.7122267574155803e-08,
gaussian_gru,23,12,0.2715432345867157,7266,0.5123395575619131,0.46052855253219604,-3.5551047325134277,1.3699843450790112,0.3060499637335019,0.7764449715614319,1.0,73,73,1.57426118850708,1.57426118850708,1.0217200686643443e-06,
gaussian_gru,47,8,0.5537880659103394,7266,0.5053713886057413,0.45861926674842834,-3.432041645050049,1.364304585116982,0.30281658830646907,0.8294209241867065,1.0,73,73,2.2922961711883545,2.2922961711883545,0.00030420023315990796,
tcn,11,12,0.13710185885429382,7138,0.5224125919969117,0.47575435042381287,-3.7359795570373535,1.415278181124918,0.32564061077301276,0.9479475617408752,0.5753424657534246,42,73,1.184018850326538,2.1996521949768066,3.4663444108984975e-13,
tcn,23,13,0.11893131583929062,7138,0.5332162038016502,0.4912027418613434,-3.933887481689453,1.4612341903879698,0.32305774270847964,0.8337677121162415,0.8493150684931506,62,73,1.4186173677444458,1.513135313987732,1.9463048570072245e-09,
tcn,47,18,-0.005007481202483177,7138,0.6887925741672644,0.6500877141952515,-7.233025550842285,1.9338865885268417,0.4674626470344907,1.639088749885559,0.4657534246575342,34,73,1.2281084060668945,3.604625940322876,4.6733611653281773e-11,
ridge,0,0,0.4962262705022762,841,0.9071579364160525,0.8099028468132019,-13.280662536621094,2.409306035571901,0.6741189928937011,5.58527783180138,0.2054794520547945,15,73,0.8610776181137902,9.108562835052155,4.769222262166412e-10,100.0
