stage,n,coverage,mean_width,MAE
rising,24,0.4583333333333333,0.940341414101422,0.5136187871297201
stable,31,0.7741935483870968,0.9709408396578606,0.2593718805620748
falling,18,0.7222222222222222,0.9587057345774439,0.29757755332522934
